1,19104,19,2,1,2226,1113,1676,550,226.29,222.09,4.21,506,253,306,200,42.08,40.55,1.53
1,21003,21,2,1,3535,1767,1950,1585,3.98,2.10,1.88,18360,9180,11706,6654,20.48,12.60,7.88
1,21004,21,79,1,204330,2586,27424,204,301.24,29.20,0.04,283458,3588,27137,98,561.51,98.77,0.04
1,21007,21,139,1,2855443,20542,565394,204,607.19,23.08,0.05,2447485,17607,408853,0,1476.60,100.29,0.00
1,20001,20,15088,1,77308621,5123,2014913,0,2891024.30,368619.00,0.00,10871705,720,373797,0,577638.20,29104.70,0.00
1,20002,20,1718,1,4967273,2891,134712,0,313893.90,83588.50,0.00,238788,138,8238,0,24060.38,662.19,0.00
1,7003,7,1,1,408,408,408,408,0.05,0.05,0.05,0,0,0,0,0.00,0.00,0.00
1,9003,9,189,1,1627401,8610,243731,705,1034.37,13.25,0.26,289176,1530,27510,0,914.93,80.74,0.00
1,19079,19,3,1,7765,2588,2645,2486,18.62,12.04,1.04,697,232,342,127,2.29,1.41,0.08
1,19001,19,17566,1,35307964,2010,256372,0,11158329.27,483372.00,0.00,6600256,375,12195,0,19234398.80,13549.80,0.00
1,19004,19,2,1,958,479,530,428,3.04,1.67,1.37,668,334,334,334,2.12,1.07,1.05
1,19006,19,60,1,569670,9494,71094,0,70.72,10.32,0.00,45320,755,18266,0,39.34,6.45,0.00
1,19007,19,2,1,4516,2258,2634,1882,19.21,13.68,5.54,368,184,241,127,2.95,2.92,0.03
1,19008,19,40,1,155997,3899,23077,98,500.07,194.55,0.00,22579,564,5024,0,315.75,194.55,0.00
1,19011,19,7,1,2350,335,826,102,107.64,58.63,0.00,722,103,310,0,61.32,58.63,0.00
1,19015,19,4,1,400,100,102,98,108.66,41.76,12.50,396,99,102,94,107.46,41.76,12.50
1,19016,19,119,1,371786,3124,85314,118,83335.45,81908.20,0.00,2020,16,196,0,438.44,95.47,0.00
1,19022,19,1,1,106,106,106,106,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00
1,19025,19,2,1,1010,505,912,98,1.58,1.57,0.01,456,228,456,0,0.78,0.78,0.00
1,18002,18,16,1,221759,13859,161280,0,2435.04,1978.19,0.00,1900,118,428,0,1922.76,1762.39,0.00
1,19028,19,1,1,106,106,106,106,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00
1,19029,19,12,1,5266,438,632,272,60.62,17.61,0.05,0,0,0,0,0.00,0.00,0.00
1,19034,19,1,1,43259,43259,43259,43259,0.23,0.23,0.23,618,618,618,618,0.08,0.08,0.08
1,19035,19,1,1,2137,2137,2137,2137,1.63,1.63,1.63,342,342,342,342,0.15,0.15,0.15
1,19037,19,1,1,2552,2552,2552,2552,7.63,7.63,7.63,127,127,127,127,0.90,0.90,0.90
1,19041,19,2,1,24045,12022,15313,8732,4.47,2.34,2.13,746,373,542,204,2.01,1.10,0.91
1,19043,19,18,1,30116,1673,8820,0,949.20,420.77,0.00,10612,589,5090,0,565.34,337.99,0.00
1,19047,19,10,1,25275,2527,12585,102,121.28,77.58,0.01,2428,242,648,0,111.19,77.58,0.00
1,19048,19,22,1,448748,20397,163064,102,269.05,149.31,0.04,8580,390,2291,0,218.53,146.22,0.00
1,17002,17,24,1,86269,3594,17118,102,5210.12,2769.47,0.08,4005,166,1320,0,3871.80,2255.86,0.00
1,19051,19,23,1,159254,6924,56090,0,2247.48,2223.97,0.00,9814,426,1736,0,15.06,4.25,0.00
1,19053,19,10,1,346334,34633,66797,0,2.05,0.46,0.00,3945,394,987,0,0.48,0.10,0.00
1,19054,19,29,1,55615,1917,22230,674,779.45,153.77,0.44,0,0,0,0,0.00,0.00,0.00
1,19056,19,32,1,80585,2518,30165,0,53.70,7.73,0.00,19250,601,11572,0,48.49,8.35,0.00
1,19057,19,1,1,114,114,114,114,102.14,102.14,102.14,102,102,102,102,91.39,91.39,91.39
1,19060,19,1,1,244,244,244,244,12.42,12.42,12.42,204,204,204,204,10.38,10.38,10.38
1,19064,19,1,1,106,106,106,106,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00
1,19069,19,180,1,205482,1141,16012,114,1919.50,396.12,0.00,34541,191,732,0,438.92,107.90,0.00
1,16003,16,7,1,102886,14698,62976,102,123.04,107.61,0.00,2303,329,1158,0,122.77,111.79,0.00
1,19078,19,917,1,249126,271,9384,0,9838.17,34.50,0.00,107184,116,276,0,9110.88,32.63,0.00
1,3009,3,3184,1,72666914,22822,1033192,0,55113.97,17875.80,0.00,40615335,12756,1087124,0,25815.98,2467.35,0.00
1,16008,16,1,1,61142,61142,61142,61142,0.15,0.15,0.15,654,654,654,654,0.09,0.09,0.09
1,16009,16,10,1,178077,17807,63270,2136,22.44,9.78,0.09,16678,1667,9166,103,2.52,1.29,0.03
1,16010,16,1,1,232,232,232,232,1.62,1.62,1.62,115,115,115,115,0.80,0.80,0.80
1,19083,19,14,1,126484,9034,65322,98,19.15,6.61,0.00,4477,319,1636,0,6.87,2.20,0.00
1,16012,16,1,1,1820,1820,1820,1820,0.70,0.70,0.70,3925,3925,3925,3925,1.51,1.51,1.51
1,19086,19,14,1,75321,5380,14393,352,18.35,4.50,0.09,286243,20445,80694,1898,111.84,25.34,0.22
1,17005,17,75,1,927573,12367,174225,0,1012.08,302.95,0.00,110466,1472,40681,0,237.78,138.07,0.00
1,19088,19,1,1,8896,8896,8896,8896,0.05,0.05,0.05,300,300,300,300,0.03,0.03,0.03
1,19089,19,6,1,174366,29061,104288,476,20.98,7.20,0.28,31143,5190,29469,124,18.21,7.44,0.12
