1,19104,19,1,3,844,428,204,8.05,12.98,0.02,428,216,0,6.20,12.98,0.00
1,21003,21,1,2,11147,9715,1432,7.84,10.88,4.79,5968,4895,1073,10.05,16.39,3.72
1,21004,21,1,120,342752,15837,705,4.15,25.28,0.16,434073,54629,204,6.82,43.00,0.03
1,21006,21,1,2,102582,99565,3017,5.54,8.65,2.43,4357,3276,1081,1.72,2.64,0.80
1,21007,21,11,271,514461,311007,102,5.22,40.83,0.01,358380,291821,0,14.69,332.64,0.00
1,19081,19,1,3,1356,464,428,8.28,11.14,6.71,790,318,236,5.08,8.28,3.41
1,20001,20,5687,18150,36382,4145673,0,263.16,163823.00,0.00,2503,285092,0,29.08,28298.90,0.00
1,20002,20,280,3372,61300,635940,0,1138.37,565948.00,0.00,1628,6361,0,12.03,2412.57,0.00
1,7003,7,1,2,1533,783,750,0.70,1.21,0.20,1598,799,799,0.74,1.28,0.20
1,6049,6,1,1,1682,1682,1682,0.37,0.37,0.37,1085,1085,1085,0.27,0.27,0.27
1,19122,19,1,3,2378,1486,428,9.32,10.45,7.96,452,236,0,3.38,5.27,0.00
1,4008,4,1,1,2604,2604,2604,2.29,2.29,2.29,3178,3178,3178,2.80,2.80,2.80
1,19001,19,4636,20762,20366,444458,0,881.85,709007.00,0.00,1681,4768,0,953.10,25093.10,0.00
1,19003,19,1,1,1558,1558,1558,0.12,0.12,0.12,4920,4920,4920,0.61,0.61,0.61
1,19004,19,2,15,2580,602,0,1.84,9.53,0.00,1431,432,0,1.02,4.85,0.00
1,19006,19,46,122,36618,258318,0,8.27,251.24,0.00,2493,28041,0,4.30,217.17,0.00
1,19007,19,2,1,5505,11011,11011,5.54,5.54,5.54,114,228,228,2.68,2.68,2.68
1,19008,19,21,67,13626,57388,0,7.60,166.99,0.00,1155,2661,0,4.44,161.51,0.00
1,19011,19,2,16,15707,12180,102,2.34,9.57,0.00,4305,6200,0,1.68,14.77,0.00
1,19014,19,1,5,2008,464,224,7.45,11.15,1.76,1128,318,122,3.91,5.62,1.31
1,19015,19,1,12,5040,1220,98,1029.55,12142.00,0.00,3914,1482,0,168.36,1862.15,0.00
1,19016,19,8,248,109931,126496,118,428.18,59416.40,0.00,696,204,0,4.70,168.95,0.00
1,10027,10,85,178,55198,718194,105,9.25,305.60,0.01,6133,85969,0,6.06,271.00,0.00
1,19022,19,1,1,464,464,464,7.26,7.26,7.26,236,236,236,3.69,3.69,3.69
1,19025,19,1,2,2180,2066,114,1.06,2.11,0.01,0,0,0,0.00,0.00,0.00
1,18002,18,1,32,96511,17149,0,16.37,158.52,0.00,7368,766,0,11.83,158.52,0.00
1,19028,19,1,1,428,428,428,11.14,11.14,11.14,216,216,216,5.62,5.62,5.62
1,19029,19,1,10,4362,1264,0,2.68,6.03,0.00,1841,632,0,0.44,4.39,0.00
1,19033,19,1,1,464,464,464,9.07,9.07,9.07,236,236,236,4.61,4.61,4.61
1,19034,19,2,2,38665,76671,660,0.63,1.05,0.22,474,618,330,0.41,0.74,0.08
1,19035,19,2,4,10629,10519,236,40.96,158.90,0.00,77050,153974,0,16.10,63.54,0.00
1,19037,19,2,4,7042,11459,224,43.39,158.90,1.21,739,912,122,2.20,5.63,0.73
1,19166,19,1,1,228,228,228,0.57,0.57,0.57,0,0,0,0.00,0.00,0.00
1,19041,19,3,3,15844,44750,550,1.61,2.25,0.35,252,562,0,0.67,1.13,0.00
1,19043,19,1,26,89500,19986,0,32.54,445.16,0.00,34002,12044,0,23.69,326.26,0.00
1,19044,19,1,3,1304,652,224,5.52,9.73,0.15,678,420,122,3.96,6.56,0.03
1,19045,19,1,2,904,680,224,3.80,6.73,0.86,802,680,122,2.26,3.67,0.86
1,19098,19,1,1,1160,1160,1160,0.09,0.09,0.09,406,406,406,0.06,0.06,0.06
1,19047,19,1,10,6184,1302,98,57.25,506.12,0.09,2432,1450,0,54.55,506.12,0.00
1,19048,19,17,107,131578,269776,0,28.72,1978.19,0.00,3222,3370,0,20.71,1762.39,0.00
1,17002,17,8,38,60665,373287,0,112.25,2769.47,0.00,6533,26984,0,73.01,1879.88,0.00
1,19051,19,5,26,72123,140118,102,9.05,150.12,0.00,3020,3648,0,6.83,120.57,0.00
1,17005,17,35,138,41666,172641,102,440.16,59418.30,0.02,4524,40932,0,4.37,164.62,0.00
1,19054,19,5,23,8896,19890,674,436.18,9673.78,0.00,0,0,0,0.00,0.00,0.00
1,19056,19,5,63,68231,155098,0,46.96,2769.47,0.00,7724,15120,0,1.92,9.40,0.00
1,19057,19,1,2,652,428,224,10.12,10.45,9.78,338,216,122,5.30,5.33,5.27
1,19060,19,1,4,704,244,122,19.99,52.20,7.80,408,102,102,18.77,52.20,6.52
1,19063,19,1,1,169114,169114,169114,1.05,1.05,1.05,972,972,972,0.17,0.17,0.17
1,19064,19,1,3,672,224,224,8.75,8.75,8.75,366,122,122,4.77,4.77,4.77
1,19068,19,1,1,464,464,464,6.25,6.25,6.25,236,236,236,3.18,3.18,3.18
1,19069,19,19,324,24584,14094,114,259.81,61432.50,0.00,3504,1085,0,3.18,125.89,0.00
1,19070,19,1,1,5542,5542,5542,0.14,0.14,0.14,306,306,306,0.04,0.04,0.04
