LAC,CI,LAC-CI,latitude,longtitude
10004,31656,10004-31656,23.17896,113.32723
10004,32517,10004-32517,23.18527,113.31931
10004,33047,10004-33047,23.17779,113.31719
10004,33471,10004-33471,23.18563,113.32314
10004,34051,10004-34051,23.18944,113.31664
10004,34052,10004-34052,23.18944,113.31664
10004,34053,10004-34053,23.18944,113.31664
10004,34054,10004-34054,23.18944,113.31664
10004,34055,10004-34055,23.18944,113.31664
10004,34056,10004-34056,23.18944,113.31664
10004,36614,10004-36614,23.18651,113.31713
10004,36615,10004-36615,23.18651,113.31713
10004,36687,10004-36687,23.1858,113.32926
10004,36688,10004-36688,23.1858,113.32926
10004,36689,10004-36689,23.1858,113.32926
10004,38217,10004-38217,23.19928,113.33019
10004,38218,10004-38218,23.19928,113.33019
10004,38219,10004-38219,23.19928,113.33019
10004,40107,10004-40107,23.18363,113.31661
10004,41261,10004-41261,23.18582,113.32858
10004,41684,10004-41684,23.18118,113.31584
10004,42044,10004-42044,23.17369,113.31184
10004,42045,10004-42045,23.17369,113.31184
10004,42047,10004-42047,23.17369,113.31184
10004,42048,10004-42048,23.17369,113.31184
10004,42049,10004-42049,23.17369,113.31184
10004,44321,10004-44321,23.18832,113.33154
10004,44322,10004-44322,23.18832,113.33154
10004,44323,10004-44323,23.18832,113.33154
10004,44331,10004-44331,23.18779,113.32026
10004,44332,10004-44332,23.18779,113.32026
10004,44333,10004-44333,23.18779,113.32026
10004,44334,10004-44334,23.18779,113.32026
10004,44371,10004-44371,23.19077,113.32541
10004,44372,10004-44372,23.19077,113.32541
10004,44373,10004-44373,23.19077,113.32541
10004,44394,10004-44394,23.18972,113.32416
10004,44609,10004-44609,23.18841,113.32209
10004,44617,10004-44617,23.1884,113.31925
10004,44618,10004-44618,23.1882,113.32072
10004,44621,10004-44621,23.18779,113.32026
10004,44622,10004-44622,23.18779,113.32026
10004,44623,10004-44623,23.18779,113.32026
10004,44634,10004-44634,23.18832,113.33154
10004,44635,10004-44635,23.18832,113.33154
10004,44636,10004-44636,23.18832,113.33154
10004,44671,10004-44671,23.19077,113.32541
10004,44672,10004-44672,23.19077,113.32541
10004,44673,10004-44673,23.19077,113.32541
10004,44674,10004-44674,23.19077,113.32541
10004,44734,10004-44734,23.1876,113.331
10004,45964,10004-45964,23.18841,113.32875
10004,45965,10004-45965,23.18841,113.32875
10004,45966,10004-45966,23.18841,113.32875
10004,47157,10004-47157,23.18771,113.32871
10004,47158,10004-47158,23.18771,113.32871
10004,47159,10004-47159,23.18771,113.32871
10004,47224,10004-47224,23.17651,113.31318
10004,47225,10004-47225,23.17651,113.31318
10004,47226,10004-47226,23.17651,113.31318
10004,47227,10004-47227,23.17651,113.31318
10004,47228,10004-47228,23.17651,113.31318
10004,47229,10004-47229,23.17651,113.31318
10004,47287,10004-47287,23.18581,113.32925
10004,50435,10004-50435,23.1919,113.33571
10004,50436,10004-50436,23.1919,113.33571
10004,50481,10004-50481,23.18778,113.32451
10004,50482,10004-50482,23.18778,113.32451
10004,50483,10004-50483,23.18778,113.32451
10004,50867,10004-50867,23.18866,113.32198
10004,51546,10004-51546,23.19136,113.33119
10004,51901,10004-51901,23.18541,113.31992
10004,51902,10004-51902,23.18541,113.31992
10004,53072,10004-53072,23.19136,113.33119
10004,53073,10004-53073,23.19136,113.33119
10004,58214,10004-58214,23.18514,113.33089
10004,58215,10004-58215,23.18514,113.33089
10004,58216,10004-58216,23.18514,113.33089
10005,26151,10005-26151,23.10168,113.27406
10005,26152,10005-26152,23.10168,113.27406
10005,26153,10005-26153,23.10168,113.27406
10005,26174,10005-26174,23.10168,113.27406
10005,26176,10005-26176,23.10168,113.27406
10005,28977,10005-28977,23.101953,113.277822
10005,29034,10005-29034,23.102242,113.277164
