1,19104,19,2,1,2226,1113,1676,550,226.29,222.09,4.21,506,253,306,200,42.08,40.55,1.53
1,21003,21,3,1,4498,1499,1950,963,10.39,6.41,1.88,20314,6771,11706,1954,33.49,13.01,7.88
1,21004,21,82,1,210477,2566,27424,204,312.49,29.20,0.04,305092,3720,27137,0,580.79,98.77,0.00
1,21007,21,145,1,3054172,21063,565394,204,650.48,23.08,0.05,2515554,17348,408853,0,1558.49,100.29,0.00
1,20001,20,16043,1,82537147,5144,2014913,0,3105584.20,368619.00,0.00,11400495,710,373797,0,614431.87,29104.70,0.00
1,20002,20,1811,1,5114017,2823,134712,0,317609.36,83588.50,0.00,250879,138,8238,0,25469.68,662.19,0.00
1,7003,7,1,1,408,408,408,408,0.05,0.05,0.05,0,0,0,0,0.00,0.00,0.00
1,19079,19,3,1,7765,2588,2645,2486,18.62,12.04,1.04,697,232,342,127,2.29,1.41,0.08
1,19001,19,18795,1,37313310,1985,256372,0,11835678.31,483372.00,0.00,7079198,376,12195,0,20476146.51,13549.80,0.00
1,19004,19,2,1,958,479,530,428,3.04,1.67,1.37,668,334,334,334,2.12,1.07,1.05
1,19006,19,64,1,588924,9201,71094,0,85.57,10.32,0.00,47781,746,18266,0,49.70,6.48,0.00
1,19007,19,2,1,4516,2258,2634,1882,19.21,13.68,5.54,368,184,241,127,2.95,2.92,0.03
1,19008,19,41,1,159284,3884,23077,98,500.31,194.55,0.00,24306,592,5024,0,315.97,194.55,0.00
1,19011,19,7,1,2350,335,826,102,107.64,58.63,0.00,722,103,310,0,61.32,58.63,0.00
1,19015,19,4,1,400,100,102,98,108.66,41.76,12.50,396,99,102,94,107.46,41.76,12.50
1,19016,19,130,1,376350,2895,85314,118,83365.49,81908.20,0.00,2122,16,196,0,456.58,95.47,0.00
1,10027,10,91,1,1856771,20404,589520,0,434.49,83.38,0.00,155314,1706,53026,0,197.13,83.38,0.00
1,19022,19,1,1,106,106,106,106,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00
1,19025,19,2,1,1010,505,912,98,1.58,1.57,0.01,456,228,456,0,0.78,0.78,0.00
1,18002,18,19,1,225857,11887,161280,0,2442.62,1978.19,0.00,2234,117,428,0,1925.49,1762.39,0.00
1,19028,19,1,1,106,106,106,106,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00
1,19029,19,12,1,5266,438,632,272,60.62,17.61,0.05,0,0,0,0,0.00,0.00,0.00
1,19034,19,1,1,43259,43259,43259,43259,0.23,0.23,0.23,618,618,618,618,0.08,0.08,0.08
1,19035,19,1,1,2137,2137,2137,2137,1.63,1.63,1.63,342,342,342,342,0.15,0.15,0.15
1,19037,19,1,1,2552,2552,2552,2552,7.63,7.63,7.63,127,127,127,127,0.90,0.90,0.90
1,19041,19,2,1,24045,12022,15313,8732,4.47,2.34,2.13,746,373,542,204,2.01,1.10,0.91
1,19043,19,18,1,30116,1673,8820,0,949.20,420.77,0.00,10612,589,5090,0,565.34,337.99,0.00
1,19047,19,10,1,25275,2527,12585,102,121.28,77.58,0.01,2428,242,648,0,111.19,77.58,0.00
1,19048,19,25,1,454874,18194,163064,102,276.20,149.31,0.04,8682,347,2291,0,218.54,146.22,0.00
1,17002,17,24,1,86269,3594,17118,102,5210.12,2769.47,0.08,4005,166,1320,0,3871.80,2255.86,0.00
1,19051,19,23,1,159254,6924,56090,0,2247.48,2223.97,0.00,9814,426,1736,0,15.06,4.25,0.00
1,17005,17,80,1,935013,11687,174225,0,1055.41,302.95,0.00,111583,1394,40681,0,248.42,138.07,0.00
1,19054,19,31,1,57398,1851,22230,674,836.11,153.77,0.44,0,0,0,0,0.00,0.00,0.00
1,19056,19,33,1,81383,2466,30165,0,53.79,7.73,0.00,19250,583,11572,0,48.49,8.35,0.00
1,19057,19,1,1,114,114,114,114,102.14,102.14,102.14,102,102,102,102,91.39,91.39,91.39
1,19060,19,1,1,244,244,244,244,12.42,12.42,12.42,204,204,204,204,10.38,10.38,10.38
1,19064,19,1,1,106,106,106,106,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00
1,19069,19,206,1,244052,1184,16012,114,2320.19,396.12,0.00,38252,185,732,0,463.32,107.90,0.00
1,16003,16,7,1,102886,14698,62976,102,123.04,107.61,0.00,2303,329,1158,0,122.77,111.79,0.00
1,19078,19,976,1,266286,272,9384,0,10455.79,34.90,0.00,114280,117,276,0,9677.84,32.63,0.00
1,3009,3,3376,1,76426571,22638,1033192,0,56272.48,17875.80,0.00,42663777,12637,1087124,0,26727.26,2467.35,0.00
1,16008,16,1,1,61142,61142,61142,61142,0.15,0.15,0.15,654,654,654,654,0.09,0.09,0.09
1,16009,16,10,1,178077,17807,63270,2136,22.44,9.78,0.09,16678,1667,9166,103,2.52,1.29,0.03
1,16010,16,1,1,232,232,232,232,1.62,1.62,1.62,115,115,115,115,0.80,0.80,0.80
1,16011,16,51,1,285710,5602,23506,0,65.46,9.09,0.00,16728,328,1431,115,6.19,2.33,0.00
1,16012,16,1,1,1820,1820,1820,1820,0.70,0.70,0.70,3925,3925,3925,3925,1.51,1.51,1.51
1,19086,19,15,1,78936,5262,14393,352,19.23,4.50,0.09,294548,19636,80694,1898,112.91,25.34,0.22
1,19053,19,10,1,346334,34633,66797,0,2.05,0.46,0.00,3945,394,987,0,0.48,0.10,0.00
1,19088,19,1,1,8896,8896,8896,8896,0.05,0.05,0.05,300,300,300,300,0.03,0.03,0.03
1,19089,19,6,1,174366,29061,104288,476,20.98,7.20,0.28,31143,5190,29469,124,18.21,7.44,0.12
