0,13002,13,1,1,3316,3316,3316,3316,2.37,2.37,2.37,4015,4015,4015,4015,2.87,2.87,2.87,6,59553,5223
0,19149,19,1,1,834,834,834,834,0.15,0.15,0.15,0,0,0,0,0.00,0.00,0.00,6,64956,50
0,19150,19,14,1,509576,36398,93649,342,25.94,4.96,0.32,1720277,122876,491501,0,56.18,11.66,0.00,6,50420,74
0,13007,13,1,1,541,541,541,541,313.12,313.12,313.12,107,107,107,107,61.93,61.93,61.93,17,20762,40015
0,13008,13,9,1,9273,1030,3155,92,77.13,41.22,0.00,3710,412,2240,0,22.50,15.15,0.00,17,20002,22555
0,13009,13,12,1,45657,3804,17442,130,98.59,39.12,0.00,32142,2678,15914,0,145.83,108.17,0.00,17,5829,23903
0,19154,19,13,1,8501,653,3062,106,123.78,105.07,0.00,6732,517,3701,0,121.40,112.01,0.00,6,7323,8811
0,25001,25,1758,1,20173732,11475,236421,0,8750.77,82.56,0.00,73392033,41747,2513945,0,27497.54,481.74,0.00,6,47235,80
0,25002,25,2631,1,19563261,7435,280643,0,9846.14,48.22,0.00,53714354,20415,559453,0,18780.06,129.56,0.00,6,49685,80
0,25003,25,135,1,443672,3286,21176,806,1138.28,49.17,0.35,875434,6484,80592,228,1081.07,130.10,0.03,6,40117,80
0,25004,25,28441,1,684550512,24069,1026987,0,208853.58,112.37,0.00,2292086098,80590,6519663,0,461382.37,426.81,0.00,6,37108,80
0,25005,25,12560,1,31737540,2526,48044,0,107219.84,66.43,0.00,40806165,3248,362024,0,103873.83,243.23,0.00,6,40450,80
0,25006,25,161972,1,4003360232,24716,3424790,0,1999673.99,4189.17,0.00,16730298325,103291,69080672,0,2875090.19,2181.01,0.00,6,40826,80
0,23001,23,2225,1,18139815,8152,1357834,0,12639.01,68.96,0.00,143542432,64513,8385596,0,27616.70,1846.77,0.00,6,47790,80
0,21001,21,23,1,179810,7817,62761,958,103.94,16.75,0.39,415109,18048,112300,564,138.84,36.34,0.12,6,49636,80
0,21003,21,24,1,113212,4717,23839,1124,249.09,33.71,1.28,311504,12979,50451,0,653.56,111.50,0.00,6,50837,80
0,21004,21,7465,1,31597011,4232,2685849,0,34025.88,83.92,0.00,56645658,7588,1233287,0,48353.72,186.77,0.00,6,59938,80
0,21006,21,25,1,497690,19907,141571,220,140.00,34.17,0.04,983252,39330,447017,212,363.63,77.61,0.03,6,42722,80
0,21007,21,18118,1,363209607,20046,1320019,0,99593.09,66.95,0.00,1719858955,94925,11649611,0,232475.49,623.29,0.00,6,34053,80
0,21008,21,30,1,200933,6697,49129,0,231.38,46.33,0.00,282311,9410,55484,114,336.65,98.66,0.02,6,52507,80
0,21009,21,3,1,20217,6739,17185,456,3.81,3.25,0.12,267266,89088,264238,114,50.50,49.98,0.03,6,40274,80
0,21010,21,1,1,3692,3692,3692,3692,1.32,1.32,1.32,7426,7426,7426,7426,2.65,2.65,2.65,6,52396,80
0,19001,19,1940747,1,6889237214,3549,947731,0,29195976720.49,2209700.00,0.00,16152704737,8322,1782765,0,8724523564.44,3094380.00,0.00,17,35172,53
0,19003,19,11,1,97864,8896,50871,106,66585.35,72510.50,0.08,45682,4152,20663,113,112.07,112.23,0.00,6,5150,11088
0,19004,19,411,1,652383,1587,34532,0,355345.74,102723.00,0.00,1108269,2696,72264,0,208985.28,102723.00,0.00,6,1170,80
0,19006,19,7765,1,65814133,8475,253543,0,4832444.49,257815.00,0.00,61189476,7880,643275,0,2561120.60,410866.00,0.00,6,1025,10108
0,19007,19,133,1,262751,1975,77989,0,3482.07,412.94,0.00,223469,1680,47079,0,1323.63,396.09,0.00,6,2059,5111
0,19008,19,5301,1,40256999,7594,392670,0,4121310.21,378690.00,0.00,47179792,8900,494658,0,2828364.28,1464310.00,0.00,6,1026,2603
0,19009,19,8,1,121492,15186,56640,196,67783.44,61432.50,0.03,225427,28178,129514,0,644.83,340.14,0.00,6,57979,2
0,19010,19,2,1,912,456,708,204,0.83,0.73,0.10,408,204,408,0,1.46,1.46,0.00,6,17027,80
0,19011,19,1407,1,4143244,2944,294681,0,912554.90,164355.00,0.00,6560931,4663,436868,0,1904167.99,1734100.00,0.00,6,1050,80
0,19012,19,3,1,2362,787,1800,224,1.78,1.29,0.00,306,102,306,0,1.17,1.17,0.00,6,10008,135
0,19014,19,37,1,39452,1066,3540,0,246130.64,245714.00,0.00,31080,840,4655,0,51440.47,51361.60,0.00,6,2287,443
0,19015,19,570,1,594015,1042,67227,0,874328.99,122865.00,0.00,2366371,4151,900800,0,372571.84,102717.00,0.00,6,35955,90
0,19016,19,28061,1,74542943,2656,1550010,0,499630787.40,1572810.00,0.00,29077982,1036,525272,0,3732276.61,230677.00,0.00,6,47090,7
0,19017,19,1,1,868,868,868,868,2.14,2.14,2.14,460,460,460,460,1.10,1.10,1.10,6,79,5111
0,19018,19,13,1,43985,3383,25063,102,74647.78,57404.10,0.00,13224,1017,8536,0,12.00,3.50,0.00,6,55714,70
0,19022,19,46,1,75152,1633,20002,0,5491.36,4675.73,0.00,61538,1337,23414,0,53788.78,51359.90,0.00,6,2502,80
0,19025,19,38,1,466316,12271,379259,0,325806.01,122865.00,0.00,785184,20662,774560,0,781.37,230.59,0.00,6,46694,99
0,19026,19,3530,1,2165349,613,61732,102,69087574.66,491555.00,0.00,56864,16,24882,0,282.91,97.06,0.00,6,60913,86
0,19027,19,14,1,28866,2061,11439,0,35.44,9.56,0.00,115123,8223,82887,0,25719.44,25680.40,0.00,6,59046,91
