,lat,long,roleID
9423-52562,23.120739999999998,113.31528999999999,5
42265-18666,23.127660000000002,113.37333000000001,5
10042-21334,23.13824,113.36202,5
10042-21335,23.13824,113.36202,5
42266-47141,23.125476000000003,113.266415,5
9472-41675,23.12677,113.31756000000001,5
9472-41674,23.12677,113.31756000000001,5
9472-41676,23.12677,113.31756000000001,5
9434-36352,22.954677,113.364543,5
9434-36353,22.957667,113.359264,5
9434-36351,22.955762,113.36559199999999,5
9434-36354,22.949993,113.35631399999998,5
42268-13353,22.9134,113.337,5
42265-34811,23.127812,113.287376,5
9423-44173,23.122888,113.31235900000001,5
9454-51244,23.088507,113.291358,5
10313-39791,23.11188,113.24908,5
9454-51242,23.088507,113.291358,5
9452-50603,23.128173,113.28571799999999,5
9692-35221,22.940168,113.35798600000001,5
10328-43214,23.275481,113.29292199999999,5
9692-35223,22.938152,113.35724099999999,5
9692-35222,22.938928,113.36071000000001,5
10299-24437,23.12847,113.36282,5
42266-36571,23.115215,113.24393400000001,5
42261-20282,23.42195,113.1625,5
42261-20281,23.42195,113.1625,5
42266-36572,23.115215,113.24393400000001,5
42259-60111,23.277179999999998,113.55611999999999,5
9475-50364,23.15075,113.44304,5
10029-35147,23.11745,113.32168999999999,5
9447-50647,22.999892000000003,113.34281599999998,5
42261-14416,23.49521,113.23286999999999,5
9453-27777,23.13365,113.28101000000001,5
42268-3401,22.94643,113.36698,5
42268-3402,22.94643,113.36698,5
42268-3403,22.94643,113.36698,5
42266-36682,23.10021,113.25693999999999,5
42266-36681,23.10021,113.25693999999999,5
9453-27778,23.13365,113.28101000000001,5
9447-28647,22.970712,113.36421299999999,5
10324-54751,23.509613,113.74651599999999,0
9447-28648,22.971222,113.36156299999999,5
10324-54753,23.517401,113.737453,0
10324-54752,23.510991,113.744675,0
10307-25987,23.482037,113.183833,2
42259-52001,0.0,0.0,0
9464-36581,23.39817,113.48501999999999,3
42259-52002,0.0,0.0,0
9435-35047,23.215674,113.596526,5
42260-12931,23.33115,113.28066000000001,5
42260-12933,23.33115,113.28066000000001,5
42260-12932,23.33115,113.28066000000001,5
42259-30571,23.144437,113.33306699999999,5
9749-15362,23.09585,113.23005,5
9749-15361,23.09585,113.23005,5
9749-15367,23.099621,113.227442,5
9749-15366,23.099621,113.227442,5
9749-15365,23.099621,113.227442,5
9749-15364,23.099621,113.227442,5
42259-40131,23.152027,113.364948,5
9749-15369,23.099621,113.227442,5
9749-15368,23.099621,113.227442,5
10314-58126,23.068635,113.30566100000001,5
10314-58125,23.069067,113.305273,5
10314-58124,23.068464000000002,113.304576,5
9506-9254,0.0,0.0,0
9448-58681,23.289896,113.295876,5
9448-58683,23.287156,113.290171,5
9448-58682,0.0,0.0,0
9675-65401,0.0,0.0,0
9675-65400,22.961515,113.31300800000001,5
9675-65403,22.940878,113.302295,5
9675-65402,22.940759,113.309726,5
42265-34101,23.139352,113.323434,5
9675-65404,22.934448,113.296225,5
42265-34102,23.139352,113.323434,5
42259-31782,23.151347,113.367787,5
42266-20196,0.0,0.0,0
10327-30357,23.153010000000002,113.31658,5
42266-5376,23.11799,113.26478,5
9489-33411,23.12389,113.24648,5
10310-12870,23.406364,113.186771,5
9437-35760,23.14076,113.25691,5
42259-16212,0.0,0.0,0
10324-53931,23.533815,113.81819499999999,3
10324-53932,23.529662,113.82793400000001,3
10324-53933,23.533435,113.82285900000001,3
42263-37894,22.80436,113.520224,5
10007-17358,23.446171,113.17894799999999,5
10007-17359,0.0,0.0,0
42263-37891,22.80436,113.520224,5
42263-37892,22.80436,113.520224,5
42263-37893,22.80436,113.520224,5
10007-17357,23.452167000000003,113.18089099999999,5
10017-53081,23.120546,113.28954399999999,5
10017-53082,23.120389000000003,113.288605,5
9472-45747,23.123535999999998,113.319854,5
9472-45749,0.0,0.0,0
9472-45748,23.12395,113.321017,5
9447-56949,22.977783,113.348619,5
9447-56948,22.982139,113.34397299999999,5
42265-60711,23.082620000000002,113.34709,5
42261-37211,23.404704000000002,113.197965,5
42265-60713,23.082620000000002,113.34709,5
42265-60712,23.082620000000002,113.34709,5
9442-50663,23.037866,113.392978,5
42288-64142,23.2325,113.59416,4
42288-64141,23.2325,113.59416,4
42288-25208,0.0,0.0,0
42288-25207,0.0,0.0,0
42288-25206,0.0,0.0,0
42265-34441,23.133456,113.277317,5
10304-56863,23.258770000000002,113.23181000000001,5
10304-56862,23.258770000000002,113.23181000000001,5
10304-56861,23.258770000000002,113.23181000000001,5
42260-6632,23.214470000000002,113.3241,5
42266-38481,23.127976999999998,113.24495800000001,5
10305-51987,23.26126,113.29453999999998,5
10017-42172,23.11887,113.29015,5
42288-23337,23.39019,113.7369,0
42288-23336,23.39019,113.7369,0
42288-23338,23.39019,113.7369,0
9467-47581,23.1284,113.21228,5
42289-16551,23.54926,113.58033,5
42289-16552,23.54926,113.58033,5
42289-16553,23.54926,113.58033,5
42259-18118,23.19388,113.38896000000001,5
42265-18387,23.116989999999998,113.40698,5
42265-18386,23.116989999999998,113.40698,5
42266-60421,23.12065,113.25901,5
42266-60422,23.12065,113.25901,5
42259-18117,23.19388,113.38896000000001,5
42259-18116,23.19388,113.38896000000001,5
10322-26536,23.34188,113.36131,4
10322-26534,23.34188,113.36131,4
10322-26535,23.34188,113.36131,4
10029-18207,23.11487,113.32683999999999,5
42260-41492,23.278312,113.24444,5
42260-41491,23.278312,113.24444,5
42268-5271,22.93028,113.3728,5
42268-5273,22.93028,113.3728,5
42268-5272,22.93028,113.3728,5
42265-30901,23.136897,113.299697,5
42265-30902,23.136897,113.299697,5
10327-30684,23.15757,113.29612,5
10039-54477,23.49695,113.53961000000001,5
10039-54476,23.49695,113.53961000000001,5
10036-47977,23.231651,113.28869099999999,5
9743-52568,23.259383,113.83626000000001,5
42266-26831,23.080289999999998,113.2864,5
42266-26833,23.080289999999998,113.2864,5
42266-26832,23.080289999999998,113.2864,5
10311-19296,23.07198,113.2859,5
10311-19295,23.07198,113.2859,5
10311-19294,23.07198,113.2859,5
42265-43901,23.131586,113.33868100000001,5
9475-24477,23.14012,113.46508999999999,4
9475-24471,23.14084,113.43887,5
10302-56781,0.0,0.0,0
9475-24473,23.14084,113.43887,5
9475-24472,23.14084,113.43887,5
9475-24479,23.14012,113.46508999999999,4
9475-24478,23.14012,113.46508999999999,4
10032-65493,22.563468,113.61728000000001,0
9748-2402,23.595270000000003,113.3625,0
9748-2400,23.595270000000003,113.3625,0
9748-2401,23.595270000000003,113.3625,0
42259-25342,0.0,0.0,0
42259-31712,23.138828,113.362103,5
42259-31711,23.138828,113.362103,5
42266-586,23.16655,113.22876000000001,5
42266-40041,23.109819,113.25613200000001,5
9473-31061,23.375963,113.218134,5
9742-27022,23.188485,113.775575,5
9742-27023,23.18645,113.77023799999999,5
9500-37011,23.096769000000002,113.27049099999999,5
10323-36187,23.29204,113.82563200000001,5
42266-10763,23.11038,113.24015,5
42259-32061,23.154257,113.33108500000002,5
9431-36384,22.946715,113.39921299999999,5
42259-32062,23.154257,113.33108500000002,5
9479-22382,23.16412,113.324,5
10323-36189,23.291497,113.824021,5
10323-36188,23.290357,113.82591399999998,5
10333-55467,23.389947,113.20153400000001,5
9470-47267,23.14461,113.31428000000001,5
9483-51072,23.111044,113.43614099999999,5
42266-21643,23.09214,113.23371999999999,5
42266-21642,23.09214,113.23371999999999,5
42266-21641,23.09214,113.23371999999999,5
42259-28941,0.0,0.0,0
9449-24552,23.391779999999997,113.29768,5
9449-24551,23.391779999999997,113.29768,5
10039-55787,23.44974,113.4995,5
42288-22528,23.36306,113.62881000000002,3
42288-22527,23.36306,113.62881000000002,3
42288-22526,23.36306,113.62881000000002,3
42267-1826,22.982979999999998,113.35278999999998,5
10039-55788,23.44974,113.4995,5
10039-55789,23.44974,113.4995,5
42265-33342,23.140572,113.280969,5
42265-33343,23.140572,113.280969,5
42265-33341,23.140572,113.280969,5
9469-10516,23.09536,113.32396999999999,5
9469-10514,23.09536,113.32396999999999,5
9469-10515,23.09536,113.32396999999999,5
42263-2271,22.688670000000002,113.65865,1
42268-30391,22.932570000000002,113.40083999999999,5
9467-16719,23.127688,113.228654,5
42261-11591,23.46722,113.1542,5
9467-16717,23.127688,113.228654,5
42267-31003,22.983079999999998,113.3616,5
9458-37565,23.083270000000002,113.23056000000001,5
9458-37566,23.083270000000002,113.23056000000001,5
9444-32721,23.068171,113.298795,5
9458-37561,23.083270000000002,113.23056000000001,5
9458-37562,23.083270000000002,113.23056000000001,5
9458-37563,23.083270000000002,113.23056000000001,5
10015-35977,23.12463,113.54638999999999,5
10011-39854,22.841182,113.382466,4
10021-43198,23.452829,113.26849299999999,4
10011-39856,22.839937,113.37719799999999,4
