1,19104,19,21,1,66498,3166,26948,0,392.93,174.70,0.00,72865,3469,25802,0,223.83,174.70,0.00,6,1434,80
1,21001,21,1,1,3541,3541,3541,3541,2.31,2.31,2.31,1592,1592,1592,1592,1.04,1.04,1.04,6,51289,80
1,21003,21,2,1,7629,3814,6548,1081,0.74,0.49,0.25,13698,6849,11379,2319,1.27,0.73,0.55,6,61839,80
1,21004,21,875,1,2843723,3249,473408,0,3225.63,35.32,0.00,18197080,20796,8667985,0,5960.07,653.39,0.00,6,40701,80
1,21006,21,5,1,39861,7972,16372,1857,27.28,16.60,0.90,63605,12721,31729,940,13.57,8.33,0.24,6,56090,80
1,21007,21,1916,1,27995273,14611,384314,0,8350.00,35.69,0.00,155825562,81328,6694323,0,21800.48,204.74,0.00,6,53759,80
1,21008,21,2,1,3384,1692,3180,204,0.36,0.32,0.03,3489,1744,3285,204,0.14,0.11,0.03,6,37306,8080
1,11011,11,1744,1,14335969,8220,895373,0,13577.53,63.04,0.00,25807056,14797,5393580,98,9784.76,132.12,0.00,6,51488,80
1,10073,10,9,1,428968,47663,242539,428,13.27,5.27,0.11,529420,58824,272423,200,5.42,1.09,0.05,6,6066,8881
1,20001,20,169223,1,1054366873,6230,2434670,0,33027689.38,854177.00,0.00,1496887878,8845,11438551,0,3775819.10,97938.70,0.00,6,40614,5287
1,20002,20,26194,1,80997055,3092,1046001,0,22928825.73,1783870.00,0.00,37187587,1419,3212076,0,363610.13,35449.10,0.00,17,16403,33937
1,7003,7,6,1,22374,3729,18010,102,14.17,4.91,0.02,173467,28911,168810,0,11.81,4.00,0.00,6,59429,80
1,2013,2,3,1,4685,1561,4011,110,205.44,182.20,5.48,4868,1622,4664,102,178.54,168.95,3.21,6,30702,443
1,6049,6,1,1,2776,2776,2776,2776,8.61,8.61,8.61,1684,1684,1684,1684,5.23,5.23,5.23,6,63141,80
1,19122,19,2,1,216,108,216,0,0.24,0.24,0.00,338,169,236,102,0.26,0.26,0.00,6,1985,7022
1,19001,19,209528,1,504753683,2409,576445,0,152526038.60,1396050.00,0.00,1228198846,5861,1594148,0,195482343.92,257311.00,0.00,17,61923,53
1,19003,19,11,1,51024,4638,14440,126,69.18,47.36,0.00,334154,30377,118055,0,83.29,66.51,0.00,6,39290,5150
1,19004,19,69,1,98234,1423,23933,0,412.82,178.79,0.00,198295,2873,77426,0,349.26,171.50,0.00,6,1170,9811
1,19006,19,818,1,5009244,6123,180808,0,60629.40,24672.90,0.00,5487444,6708,370169,0,61369.80,24672.90,0.00,6,1025,5111
1,19007,19,11,1,30116,2737,5194,102,256.84,214.00,0.39,21602,1963,3700,0,239.82,214.00,0.00,6,2059,80
1,19008,19,610,1,3274592,5368,150042,0,11337.26,4141.48,0.00,3858089,6324,130338,0,4348.72,1121.52,0.00,6,1026,9966
1,19009,19,1,1,1448,1448,1448,1448,66.77,66.77,66.77,1106,1106,1106,1106,0.32,0.32,0.32,6,42367,2
1,19010,19,1,1,114,114,114,114,0.78,0.78,0.78,228,228,228,228,1.55,1.55,1.55,6,17027,80
1,19011,19,178,1,410467,2305,59138,0,5784.72,3839.49,0.00,811623,4559,194861,0,3706.41,2056.12,0.00,6,1050,80
1,19012,19,1,1,0,0,0,0,0.00,0.00,0.00,1220,1220,1220,1220,5.08,5.08,5.08,17,135,15308
1,19014,19,2,1,1601,800,864,737,7.04,4.02,3.02,1034,517,594,440,4.63,2.43,2.19,6,2287,5111
