serviceType, lac-cid, lat, long, attributes
21001, 9432-21904,0.000000,0.000000, 112300
21001, 9461-58662,0.000000,0.000000, 111112
21001, 10307-16672,0.000000,0.000000, 46313
21001, 9442-20801,0.000000,0.000000, 20982
21001, 9442-27968,23.055810,113.390360, 20514
21001, 9496-14221,0.000000,0.000000, 16498
21001, 9427-34846,0.000000,0.000000, 16390
21001, 9427-34844,0.000000,0.000000, 16341
21001, 10013-28672,23.225540,113.212380, 11742
21001, 10303-25527,0.000000,0.000000, 11131
21003, 9437-36758,23.140760,113.256910, 124762
21003, 10023-14218,0.000000,0.000000, 85768
21003, 10034-48437,23.128420,113.418070, 50451
21003, 9453-35558,23.137080,113.269310, 42226
21003, 9734-11359,23.157130,113.241320, 31877
21003, 10021-12942,0.000000,0.000000, 29657
21003, 9455-33745,0.000000,0.000000, 26250
21003, 10324-54455,0.000000,0.000000, 26244
21003, 9454-31748,23.092502,113.291612, 19806
21003, 10024-51231,0.000000,0.000000, 15214
21006, 9472-27361,23.134120,113.337530, 447017
21006, 9434-36253,0.000000,0.000000, 117388
21006, 10313-11212,23.112480,113.252210, 109494
21006, 10022-65426,0.000000,0.000000, 45662
21006, 10009-34497,23.127780,113.260000, 40247
21006, 9484-29547,23.119620,113.262550, 36354
21006, 9461-23057,0.000000,0.000000, 36182
21006, 9487-50738,23.141600,113.213000, 33617
21006, 10328-43231,0.000000,0.000000, 32664
21006, 10333-55468,0.000000,0.000000, 24486
19003, 10306-65403,0.000000,0.000000, 20663
19003, 10314-19367,23.064210,113.321690, 8761
19003, 9477-51042,23.292870,113.217950, 7038
19003, 10305-51099,23.249320,113.266850, 1745
19003, 10307-34042,0.000000,0.000000, 1734
19003, 10329-15697,23.187030,113.270930, 1672
19003, 9481-52742,23.101572,113.248142, 1226
19003, 9736-42354,0.000000,0.000000, 1054
19003, 9426-15174,23.124530,113.347530, 744
19003, 9483-28992,23.098810,113.441400, 620
19009, 9430-16306,23.262220,113.266120, 129514
19009, 9510-25984,23.267650,113.300050, 65313
19009, 10305-51103,23.245460,113.278200, 55154
19009, 9749-20924,23.095850,113.230050, 21114
19009, 9492-44405,0.000000,0.000000, 7794
19009, 9692-12984,0.000000,0.000000, 4794
19009, 9692-22699,0.000000,0.000000, 2244
19009, 9427-41854,0.000000,0.000000, 1530
19009, 9438-18104,23.103720,113.300220, 416
19009, 9692-13459,0.000000,0.000000, 408
19015, 10302-40872,23.081860,113.520240, 900800
19015, 9483-23101,23.115230,113.436750, 674474
19015, 9431-36366,0.000000,0.000000, 219501
19015, 9467-17735,23.113790,113.232030, 109325
19015, 10031-20281,0.000000,0.000000, 61572
19015, 10033-48685,0.000000,0.000000, 49059
19015, 10303-21817,0.000000,0.000000, 47128
19015, 9484-862,23.119090,113.277730, 36886
19015, 9458-65453,23.048390,113.209100, 36824
19015, 9448-16269,23.297080,113.264340, 36095
19018, 10013-18018,23.206300,113.231440, 39460
19018, 9475-55481,0.000000,0.000000, 8536
19018, 10322-26815,23.305280,113.395560, 1006
19018, 10312-49771,0.000000,0.000000, 944
19018, 9745-33425,0.000000,0.000000, 782
19018, 9496-34535,0.000000,0.000000, 648
19018, 10023-46135,0.000000,0.000000, 648
19018, 10044-40002,23.566500,113.549950, 342
19018, 9731-33245,23.208570,113.277270, 204
19018, 10322-16218,23.297370,113.356380, 204
19022, 9434-36351,0.000000,0.000000, 23414
19022, 9432-22812,0.000000,0.000000, 12986
19022, 9457-13404,23.394600,113.411730, 9162
19022, 10332-17521,0.000000,0.000000, 2192
19022, 9486-23702,23.200780,113.269170, 1951
19022, 10005-33774,23.101952,113.277822, 1664
19022, 9481-52725,23.093330,113.254390, 1616
