serviceType, lac-cid, lat, long, attributes
19022, 10316-59456,0.000000,0.000000, 1609
19022, 10326-49694,0.000000,0.000000, 1508
19022, 9482-29697,23.104950,113.274790, 1420
19025, 10306-12755,0.000000,0.000000, 774560
19025, 10299-48877,23.131620,113.370060, 2836
19025, 9452-27182,23.122540,113.277360, 2376
19025, 10027-19702,0.000000,0.000000, 1588
19025, 9460-65430,23.085680,113.198230, 1068
19025, 9481-52724,23.093330,113.254390, 1028
19025, 9484-1841,23.117610,113.274110, 798
19025, 9453-25902,23.137720,113.266710, 636
19025, 10026-26509,23.215890,113.372840, 612
19025, 9675-10008,0.000000,0.000000, 558
19026, 9482-44497,23.108895,113.265849, 24882
19026, 10323-36831,0.000000,0.000000, 15168
19026, 10325-11461,0.000000,0.000000, 10178
19026, 9481-19699,23.096290,113.248910, 1590
19026, 9675-19575,0.000000,0.000000, 1576
19026, 9493-25309,23.128940,113.397280, 1140
19026, 9495-23244,23.134060,113.328140, 1020
19026, 10035-34934,23.236780,113.275130, 856
19026, 9731-11001,0.000000,0.000000, 522
19026, 9439-34027,23.175970,113.256320, 378
19027, 9434-36274,22.946400,113.367400, 82887
19027, 9462-33553,23.086866,113.261109, 81298
19027, 9438-28889,23.098430,113.303920, 16888
19027, 9449-29172,23.350780,113.302130, 8528
19027, 10013-29247,23.219990,113.217490, 1500
19027, 10022-51563,0.000000,0.000000, 982
19027, 9999-28081,23.173710,113.325070, 969
19027, 10317-16858,23.162430,113.259410, 856
19027, 9423-30178,23.103200,113.308040, 714
19027, 9483-46888,23.106410,113.440940, 708
19033, 9493-22454,23.126050,113.386200, 20836
19033, 10013-47021,23.216580,113.216260, 17195
19033, 10039-23899,23.433890,113.476950, 6080
19033, 9466-15042,23.172950,113.335180, 3655
19033, 9675-10008,0.000000,0.000000, 1096
19033, 10004-44373,23.190770,113.325410, 960
19033, 10038-59151,0.000000,0.000000, 921
19033, 10299-14343,23.124660,113.357230, 804
19033, 10304-18276,23.241010,113.230740, 721
19033, 9467-12742,23.119020,113.226044, 716
19034, 10027-11724,0.000000,0.000000, 7756
19034, 10329-34212,23.161900,113.265550, 5617
19034, 9731-49978,23.215080,113.277350, 3843
19034, 10040-48733,23.193480,113.448810, 3098
19034, 10315-29842,23.148550,113.260800, 2565
19034, 9479-18812,23.158270,113.315860, 2463
19034, 10041-18228,23.187780,113.258170, 1873
19034, 10325-13069,23.164270,113.352950, 1710
19034, 9509-26294,23.117320,113.400090, 1283
19034, 9741-65415,0.000000,0.000000, 1080
19035, 10309-65429,0.000000,0.000000, 738024
19035, 10015-42294,0.000000,0.000000, 209724
19035, 9740-22133,0.000000,0.000000, 120593
19035, 9434-20268,0.000000,0.000000, 25611
19035, 9462-32694,23.072098,113.276366, 23031
19035, 10039-49193,23.525950,113.608610, 20036
19035, 10026-40965,23.205030,113.369030, 12459
19035, 9741-65443,0.000000,0.000000, 10440
19035, 10010-13051,23.086940,113.336400, 7659
19035, 9998-16529,23.118450,113.236980, 7617
19037, 10035-14944,23.242950,113.256350, 77960
19037, 10007-16391,0.000000,0.000000, 76683
19037, 10314-13164,23.090780,113.306740, 20208
19037, 10013-47021,23.216580,113.216260, 18353
19037, 10015-38344,23.125050,113.531600, 9462
19037, 9439-13191,23.168170,113.259440, 8434
19037, 9460-55518,23.057820,113.200710, 7410
19037, 10034-48661,0.000000,0.000000, 3640
19037, 9472-10992,23.122360,113.337650, 3168
19037, 10311-20957,23.080590,113.278090, 3050
17001, 9455-40387,0.000000,0.000000, 400342
17001, 9434-36326,0.000000,0.000000, 173877
17001, 9741-32161,0.000000,0.000000, 116205
17001, 9467-16511,23.133820,113.219468, 102295
17001, 10325-51109,23.171060,113.370480, 50944
17001, 10037-52814,0.000000,0.000000, 28090
17001, 9469-26107,23.099970,113.324910, 20322
17001, 10029-22234,23.120090,113.333760, 8396
17001, 9500-29892,23.093622,113.271040, 7658
17001, 10015-56789,23.110920,113.545210, 5648
19057, 10309-20468,0.000000,0.000000, 13158
19057, 10306-1114,0.000000,0.000000, 10118
19057, 9506-12216,23.605560,113.660830, 7932
19057, 10037-25523,0.000000,0.000000, 2306
19057, 10312-16791,23.119989,113.241600, 2130
19057, 9434-38228,0.000000,0.000000, 1710
19057, 10300-23561,0.000000,0.000000, 1508
19057, 9492-13949,23.102900,113.288000, 1482
19057, 9459-14091,23.148750,113.338570, 1140
19057, 10039-23899,23.433890,113.476950, 1049
19063, 10316-27421,23.125470,113.261970, 2916560
19063, 10027-20238,0.000000,0.000000, 1419012
19063, 9506-57315,23.679060,113.658700, 593529
19063, 10300-34551,0.000000,0.000000, 533936
19063, 9510-25173,23.263880,113.300380, 328273
19063, 9495-46735,23.137020,113.314020, 263051
19063, 9495-23244,23.134060,113.328140, 245185
19063, 10305-30266,23.252310,113.264760, 201696
19063, 10021-58118,0.000000,0.000000, 199776
19063, 10027-35985,0.000000,0.000000, 174642
19064, 9692-36259,0.000000,0.000000, 21720
19064, 10315-38742,23.152730,113.260420, 21172
19064, 9739-46827,0.000000,0.000000, 4204
19064, 9500-28942,23.095840,113.276210, 3967
19064, 10309-65438,0.000000,0.000000, 1490
19064, 9477-15942,23.347390,113.171430, 1267
19064, 10022-22597,0.000000,0.000000, 1267
19064, 9458-54348,0.000000,0.000000, 824
19064, 9745-45974,0.000000,0.000000, 742
19064, 9461-21621,0.000000,0.000000, 609
19065, 9444-43428,23.056750,113.245070, 17781
19065, 9467-38538,23.136320,113.219540, 8763
19065, 10328-43217,0.000000,0.000000, 392
19065, 9741-15739,0.000000,0.000000, 236
19065, 10323-36166,0.000000,0.000000, 236
19065, 10027-18523,0.000000,0.000000, 236
19065, 9477-12578,23.275830,113.225350, 228
19065, 9459-14029,23.140750,113.346170, 228
19065, 9438-46257,0.000000,0.000000, 228
19065, 9469-10705,23.095360,113.323970, 220
19068, 10305-33717,23.253810,113.283270, 47294
19068, 10322-30844,23.319520,113.374960, 21087
19068, 10038-35041,23.140850,113.496000, 19702
19068, 9455-25664,0.000000,0.000000, 17260
19068, 9487-50738,23.141600,113.213000, 11583
19068, 10317-14866,23.157410,113.256840, 9459
19068, 10306-1087,0.000000,0.000000, 6954
19068, 10303-34982,0.000000,0.000000, 6181
19068, 9506-46464,23.620760,113.672560, 5555
19068, 10324-17904,23.547770,113.590840, 5423
19072, 9430-52603,23.266080,113.241980, 51408
19072, 10322-32675,23.310560,113.329040, 17988
19072, 9449-50278,0.000000,0.000000, 9088
19072, 9496-35102,0.000000,0.000000, 7910
19072, 10015-38344,23.125050,113.531600, 7068
19072, 10010-12926,23.081350,113.317100, 5200
19072, 10314-47444,0.000000,0.000000, 3344
19072, 9472-41108,23.130930,113.313670, 1828
19072, 10034-31011,23.138980,113.382750, 1339
19072, 9741-65443,0.000000,0.000000, 1286
16002, 9442-40329,0.000000,0.000000, 1709014
16002, 9448-41095,23.302810,113.225950, 28035
16002, 10015-50252,0.000000,0.000000, 11562
16002, 9473-17442,0.000000,0.000000, 8466
16002, 9479-18808,23.158270,113.315860, 4821
16002, 9453-13342,0.000000,0.000000, 1340
16002, 10327-22197,23.148200,113.313860, 1230
16002, 10017-20815,23.122170,113.304500, 1036
16002, 9461-45058,0.000000,0.000000, 975
16002, 9460-56541,23.069550,113.191690, 475
16005, 10022-51543,0.000000,0.000000, 8692
16005, 9434-54661,0.000000,0.000000, 5875
16005, 10310-57564,0.000000,0.000000, 1264
16005, 9472-39599,23.134370,113.315770, 1217
16005, 9455-17602,0.000000,0.000000, 1092
16005, 10303-50415,0.000000,0.000000, 856
16005, 10315-54295,23.148550,113.260800, 538
16005, 9472-39598,23.134370,113.315770, 456
16005, 9470-23247,23.147670,113.322670, 456
16005, 9734-57784,23.150990,113.240820, 416
19082, 10004-44333,23.187790,113.320260, 115210
19082, 9427-35204,23.055920,113.377110, 69517
19082, 9481-20161,23.106293,113.245692, 33706
19082, 9460-42491,0.000000,0.000000, 33325
19082, 10039-24004,23.510840,113.565830, 27406
19082, 10033-48686,0.000000,0.000000, 27393
19082, 10007-17492,0.000000,0.000000, 27358
19082, 10033-35624,23.160910,113.404650, 17647
19082, 9508-27185,23.125090,113.274720, 15980
19082, 9500-36877,23.089460,113.278580, 10389
19084, 10309-65429,0.000000,0.000000, 486610
19084, 10003-43823,0.000000,0.000000, 285099
19084, 10003-43821,0.000000,0.000000, 227023
19084, 10003-43921,0.000000,0.000000, 155580
19084, 10003-43822,0.000000,0.000000, 142246
19084, 10003-17821,23.222382,113.240738, 95748
19084, 10003-17823,23.222382,113.240738, 87742
19084, 10003-17822,23.222382,113.240738, 74936
19084, 10003-49123,23.217000,113.241820, 59140
19084, 10003-17824,23.222382,113.240738, 45037
19098, 10314-58972,23.072900,113.309080, 12355455
19098, 10015-706,23.105570,113.532290, 9335215
19098, 9734-51254,0.000000,0.000000, 4804077
19098, 10031-33997,0.000000,0.000000, 4189495
19098, 10042-26876,0.000000,0.000000, 3732596
19098, 10326-17627,0.000000,0.000000, 2355777
19098, 9445-46022,0.000000,0.000000, 2133335
19098, 9495-23204,23.136660,113.325150, 1246013
19098, 10013-24294,23.221600,113.201880, 1144188
19098, 10040-13647,23.262620,113.449720, 922530
19101, 9472-53285,23.125950,113.323560, 77034
19101, 9675-24525,0.000000,0.000000, 61479
19101, 10303-24309,0.000000,0.000000, 39836
19101, 10007-59441,0.000000,0.000000, 21500
19101, 10303-49533,0.000000,0.000000, 20515
19101, 10021-17746,0.000000,0.000000, 15904
19101, 10313-40821,23.110112,113.246770, 11415
19101, 9464-22329,23.336440,113.486690, 9592
19101, 10315-29721,23.149450,113.254730, 8121
19101, 9743-36028,0.000000,0.000000, 7032
19102, 10040-19715,23.218190,113.495930, 44203
19102, 10315-54295,23.148550,113.260800, 2250
19102, 9472-15088,23.135290,113.335330, 1726
19102, 10304-50767,23.236600,113.230780, 1394
19102, 10022-30910,0.000000,0.000000, 1280
19102, 10312-16071,23.132270,113.239310, 954
19102, 9734-29245,23.157570,113.230760, 938
19102, 10014-52266,23.138330,113.224400, 816
19102, 9422-45392,23.182790,113.353620, 722
19102, 9458-31247,23.082774,113.236833, 721
19107, 10329-40554,23.183290,113.273780, 2479337
19107, 9466-15037,23.180220,113.336850, 1402666
19107, 9425-32766,23.170520,113.411290, 256172
19107, 9442-24702,0.000000,0.000000, 242368
19107, 9488-56638,0.000000,0.000000, 141654
19107, 10311-19561,23.083890,113.281700, 139836
19107, 9467-17732,23.113790,113.232030, 75844
19107, 10313-23637,23.112489,113.235119, 41064
19107, 9445-50722,0.000000,0.000000, 34875
19107, 10326-32642,0.000000,0.000000, 23466
19112, 10329-58863,23.153340,113.262650, 114900
19112, 10315-38742,23.152730,113.260420, 97615
19112, 9510-20973,23.253720,113.307970, 10802
19112, 9430-25815,23.252900,113.260920, 10100
19112, 10319-58956,23.293630,113.336410, 8064
19112, 9430-39837,23.260030,113.261410, 7200
19112, 9449-29332,23.424580,113.311000, 3500
19112, 9448-33449,23.304200,113.279150, 2700
19112, 9439-12974,23.181390,113.250550, 2600
19112, 9495-38708,23.140310,113.318630, 1973
19138, 9508-27185,23.125090,113.274720, 61262
19138, 10035-14646,23.232560,113.278610, 10772
19138, 10024-2753,0.000000,0.000000, 9210
19138, 10310-11192,0.000000,0.000000, 2930
19138, 10013-29058,23.219990,113.217490, 2832
19138, 10306-65418,0.000000,0.000000, 2448
19138, 9472-41108,23.130930,113.313670, 891
19138, 10323-38945,0.000000,0.000000, 808
19138, 9462-50156,23.072500,113.283300, 660
19138, 9459-14088,23.148660,113.338620, 660
19142, 10034-46998,23.121940,113.404390, 614749
19142, 9438-38002,0.000000,0.000000, 106041
19142, 10036-34658,23.228450,113.291850, 42301
19142, 10310-20131,0.000000,0.000000, 30390
19142, 9438-35277,23.090360,113.296790, 15351
19142, 9475-56858,23.169090,113.429270, 11591
19142, 9495-21868,23.134650,113.326530, 1656
19142, 9437-47744,23.135880,113.248130, 1550
19142, 9734-51341,23.157430,113.245230, 1346
19142, 9472-46005,0.000000,0.000000, 982
19143, 10303-34302,0.000000,0.000000, 111880
19143, 10004-51143,0.000000,0.000000, 86615
19143, 9472-31152,23.129230,113.338380, 51777
19143, 9437-30937,23.134360,113.254020, 29346
19143, 10299-14239,23.124660,113.357230, 25320
19143, 9508-31977,23.120970,113.270840, 25092
19143, 9999-53013,0.000000,0.000000, 15117
19143, 9466-15038,23.180220,113.336850, 7758
19143, 9479-22313,23.164120,113.324000, 6270
19143, 9748-2386,23.658590,113.463930, 5220
19150, 9461-16758,0.000000,0.000000, 491501
19150, 9745-33425,0.000000,0.000000, 237730
19150, 10044-40002,23.566500,113.549950, 192267
19150, 9484-44447,23.114950,113.266270, 154585
19150, 10315-29851,23.153070,113.256760, 146372
19150, 10300-11402,0.000000,0.000000, 130497
19150, 10312-49771,0.000000,0.000000, 123179
19150, 9458-15529,23.067402,113.247949, 89163
19150, 9496-34535,0.000000,0.000000, 83714
19150, 10016-45751,23.080060,113.367290, 77484
19151, 10326-27354,0.000000,0.000000, 245163
19151, 9500-53742,23.088950,113.278590, 163707
19151, 9495-22927,23.138890,113.327870, 119710
19151, 9998-16529,23.118450,113.236980, 27301
19151, 9741-22503,0.000000,0.000000, 23132
19151, 10303-59628,0.000000,0.000000, 17352
19151, 9496-45415,0.000000,0.000000, 14115
19151, 10299-41814,23.131840,113.368010, 12872
19151, 10325-48285,23.162240,113.377170, 10193
19151, 9425-25447,23.203250,113.375950, 8338
19152, 9484-20001,23.108156,113.284363, 97806
19152, 9448-45504,23.269180,113.288570, 7658
19152, 10009-19004,23.090290,113.228220, 6604
19152, 9482-44432,23.107343,113.270117, 3626
19152, 9736-46032,23.038720,113.321640, 1622
19152, 9729-35024,23.158030,113.324890, 1495
19152, 9734-30651,23.156330,113.226110, 1456
19152, 9745-45974,0.000000,0.000000, 1156
19152, 9464-41747,23.334440,113.537770, 1153
19152, 10314-10604,23.083530,113.313920, 1080
13009, 9452-33014,23.127030,113.293800, 71883
13009, 9429-22688,0.000000,0.000000, 15914
13009, 9510-25985,23.267650,113.300050, 9313
13009, 9445-49901,23.041980,113.329710, 3614
13009, 10010-13051,23.086940,113.336400, 2664
13009, 10306-1191,0.000000,0.000000, 319
13009, 9999-33662,23.175940,113.321670, 212
13009, 10317-14831,23.161260,113.250100, 106
13009, 9741-50899,0.000000,0.000000, 0
13009, 9692-51714,0.000000,0.000000, 0
13010, 10041-33685,23.191680,113.261170, 5560
13010, 10022-22585,0.000000,0.000000, 4079
13010, 10010-13051,23.086940,113.336400, 786
13010, 9741-50899,0.000000,0.000000, 368
13010, 9492-28725,23.107150,113.285150, 294
13010, 9436-29564,23.118710,113.250630, 149
13010, 9692-22685,0.000000,0.000000, 0
13010, 9475-29017,23.144810,113.453570, 0
13010, 9474-14693,23.138030,113.337770, 0
13010, 9447-22148,0.000000,0.000000, 0
19156, 10034-26848,23.149040,113.416020, 138049
19156, 10320-53104,23.210360,113.257120, 125063
19156, 9729-15066,23.154870,113.348420, 109236
19156, 9444-35627,23.064210,113.283710, 53181
19156, 9481-11482,23.099680,113.262020, 48692
19156, 9466-15038,23.180220,113.336850, 42032
19156, 9437-17677,0.000000,0.000000, 30290
19156, 9736-28674,0.000000,0.000000, 22478
19156, 9429-30751,0.000000,0.000000, 15188
19156, 10325-45452,23.174070,113.329890, 11570
19164, 9441-50622,0.000000,0.000000, 39892
19164, 9475-22195,23.140840,113.438870, 9882
19164, 9500-36877,23.089460,113.278580, 2628
19164, 9441-56179,0.000000,0.000000, 2400
19164, 9508-27191,23.131300,113.269130, 1534
19164, 9469-30121,23.098416,113.313503, 1377
19164, 10299-14317,23.128070,113.367840, 1228
19164, 9745-45974,0.000000,0.000000, 742
19164, 10032-65406,0.000000,0.000000, 628
19164, 9474-47944,0.000000,0.000000, 612
19166, 9508-27185,23.125090,113.274720, 97551
19166, 9731-18259,23.188480,113.272970, 31392
19166, 9455-26995,0.000000,0.000000, 22560
19166, 10032-40808,0.000000,0.000000, 10586
19166, 9438-31046,23.091310,113.295580, 7400
19166, 10317-20527,23.164380,113.257960, 6529
19166, 9474-14371,23.135560,113.329730, 5032
19166, 10316-52259,23.127990,113.264120, 2316
19166, 9425-26481,23.204280,113.381640, 1430
19166, 9442-20801,0.000000,0.000000, 1344
19168, 9999-53002,0.000000,0.000000, 3393183
19168, 10026-46157,23.212990,113.358290, 2912246
19168, 10007-24898,0.000000,0.000000, 1306586
19168, 9474-31584,23.136890,113.334050, 819014
19168, 10328-59455,0.000000,0.000000, 140196
19168, 9472-23315,23.132050,113.322450, 119641
19168, 10315-29744,23.151340,113.249970, 117855
19168, 10015-18346,23.105660,113.526930, 79886
19168, 9998-16529,23.118450,113.236980, 57949
19168, 10018-34421,0.000000,0.000000, 23015
13008, 10031-13767,0.000000,0.000000, 2240
13008, 9470-23317,23.143420,113.323560, 1068
13008, 9450-27536,23.143840,113.265300, 550
13008, 9748-16373,23.602960,113.437040, 356
13008, 10314-19122,23.092150,113.309901, 356
13008, 10315-29731,23.154170,113.250640, 208
13008, 9746-61953,23.158600,113.202110, 0
13008, 9457-55782,0.000000,0.000000, 0
13008, 9454-31745,23.090074,113.291136, 0
13008, 9439-14811,23.173770,113.247140, 0
19153, 10323-36663,0.000000,0.000000, 29649
19153, 9999-33742,23.169870,113.311380, 25622
19153, 10309-65429,0.000000,0.000000, 20382
19153, 9664-31778,0.000000,0.000000, 19380
19153, 9508-27844,23.124490,113.271320, 10752
19153, 10040-55752,0.000000,0.000000, 7948
19153, 10317-14782,23.168180,113.247890, 7218
19153, 9459-14087,23.148660,113.338620, 5170
19153, 10313-56446,0.000000,0.000000, 4170
19153, 9472-30062,23.125900,113.315830, 3498
19154, 10003-17822,23.222382,113.240738, 5860
19154, 9736-54944,0.000000,0.000000, 3701
19154, 9484-921,23.116280,113.282600, 2856
19154, 10300-23561,0.000000,0.000000, 2448
19154, 9730-34087,23.096340,113.474820, 636
19154, 9450-25947,23.143840,113.265300, 612
19154, 10033-17261,23.165550,113.425140, 508
19154, 10323-36663,0.000000,0.000000, 408
19154, 10312-16547,23.115426,113.233846, 408
19154, 10306-1065,0.000000,0.000000, 342
11007, 10317-14835,23.161670,113.246100, 35527
11007, 9429-65409,0.000000,0.000000, 6823
11007, 9487-38715,23.140220,113.216820, 3520
11007, 10332-17564,0.000000,0.000000, 3004
11007, 10018-34402,0.000000,0.000000, 2159
11007, 9495-23244,23.134060,113.328140, 1954
11007, 10041-19827,23.183640,113.250700, 1798
11007, 9447-55797,0.000000,0.000000, 1762
11007, 9457-24852,0.000000,0.000000, 1651
11007, 9448-11104,23.279930,113.231430, 1609
11017, 9492-28726,23.107150,113.285150, 1227782
11017, 9495-23217,23.136360,113.323310, 38490
11017, 9458-37097,23.078400,113.228804, 19762
11017, 10008-10368,0.000000,0.000000, 16614
11017, 10325-41987,23.177960,113.395140, 8098
11017, 9475-51086,23.169300,113.450390, 7400
11017, 10328-43234,0.000000,0.000000, 6242
11017, 9728-20994,23.171290,113.243420, 5126
11017, 9452-27173,23.130820,113.290550, 4963
11017, 9480-25877,23.090330,113.349120, 4718
10007, 10320-40237,23.225690,113.273110, 49998
10007, 9435-32094,0.000000,0.000000, 32022
10007, 9437-13035,23.137210,113.261750, 14790
10007, 9450-20381,23.138050,113.266390, 13998
10007, 10320-12861,23.223910,113.276010, 13510
10007, 9435-55485,0.000000,0.000000, 13152
10007, 10308-18455,0.000000,0.000000, 12929
10007, 9453-31502,23.134720,113.262500, 9345
10007, 10300-27601,0.000000,0.000000, 6650
10007, 10034-48624,0.000000,0.000000, 4124
10009, 10037-54719,0.000000,0.000000, 3764388
10009, 10029-42315,0.000000,0.000000, 3529695
10009, 10310-57566,0.000000,0.000000, 1658138
10009, 10310-57565,0.000000,0.000000, 1418513
10009, 9434-58724,0.000000,0.000000, 588012
10009, 10037-24054,0.000000,0.000000, 304027
10009, 9447-52818,0.000000,0.000000, 272613
10009, 10023-13685,0.000000,0.000000, 207411
10009, 10325-35246,23.165070,113.363940, 150314
10009, 10033-36467,0.000000,0.000000, 140807
10012, 10300-43653,0.000000,0.000000, 8242
10012, 9453-27196,23.134080,113.274100, 881
10012, 10017-28659,23.122190,113.305430, 824
10012, 9470-41092,23.151450,113.319420, 822
10012, 9461-54489,0.000000,0.000000, 612
10012, 9745-51047,0.000000,0.000000, 412
10012, 10303-65402,0.000000,0.000000, 204
10012, 9730-11495,23.092790,113.485330, 113
10012, 10319-16193,23.295640,113.349390, 113
10012, 10041-10591,23.186330,113.245610, 113
10020, 9736-58858,23.071890,113.318340, 19292
10020, 10314-19196,23.067490,113.316400, 8170
10020, 9481-59702,23.100090,113.244890, 5070
10020, 9437-32934,23.137460,113.248460, 3486
10020, 10315-29842,23.148550,113.260800, 2970
10020, 10325-15741,23.165690,113.356730, 2202
10020, 10313-30047,23.110980,113.246250, 1735
10020, 9734-40594,23.153660,113.246410, 870
10020, 9458-50332,23.083350,113.220150, 786
10020, 10317-20194,23.164380,113.257960, 660
10028, 9438-26149,23.093030,113.303910, 77831
10028, 10022-19911,0.000000,0.000000, 73591
10028, 9469-26095,23.099270,113.319950, 67443
10028, 10007-23594,0.000000,0.000000, 39675
10028, 9509-21743,23.117620,113.387530, 4572
10028, 10010-13052,23.086940,113.336400, 3140
10028, 10010-13051,23.086940,113.336400, 2784
10028, 10016-49438,23.080060,113.367290, 2412
10028, 10317-16858,23.162430,113.259410, 2136
10028, 10328-43231,0.000000,0.000000, 1780
10030, 10309-20251,0.000000,0.000000, 25094
10030, 9448-41095,23.302810,113.225950, 2096
10030, 9441-11613,0.000000,0.000000, 1812
10030, 10314-19181,23.081300,113.310300, 1080
10030, 9741-65422,0.000000,0.000000, 816
10030, 10314-19367,23.064210,113.321690, 652
10030, 9450-52947,23.145680,113.272930, 651
10030, 10323-36663,0.000000,0.000000, 634
10030, 9459-16037,23.129310,113.356750, 620
10030, 10305-23052,23.259920,113.273780, 424
10038, 10042-20591,23.136560,113.362920, 291764
10038, 9425-19381,23.199560,113.379360, 34993
10038, 9452-27159,23.126160,113.283090, 17146
10038, 9466-21912,23.167050,113.336630, 5974
10038, 9435-18374,0.000000,0.000000, 5404
10038, 9457-16459,23.399180,113.372760, 4436
10038, 10329-51602,23.158470,113.262870, 4116
10038, 10041-10593,23.186330,113.245610, 2864
10038, 9467-45334,0.000000,0.000000, 2856
10038, 9486-17837,23.200950,113.253270, 2540
10043, 9742-19357,0.000000,0.000000, 48396
10043, 10008-18499,0.000000,0.000000, 9516
10043, 9729-31843,23.158320,113.337320, 4694
10043, 9493-58682,0.000000,0.000000, 3960
10043, 9747-12872,23.208010,113.324140, 2736
10043, 9747-27091,23.202100,113.318290, 2728
10043, 9458-15485,23.065626,113.225997, 2310
10043, 9746-33875,23.159380,113.198020, 1952
10043, 9469-21351,23.091640,113.324940, 1430
10043, 9423-30179,23.103200,113.308040, 1080
16010, 9731-12613,23.205090,113.285440, 1100934
16010, 10306-1157,0.000000,0.000000, 596649
16010, 9422-12836,23.187040,113.337070, 575465
16010, 10044-30197,23.561050,113.535030, 529282
16010, 10311-19248,23.075280,113.288280, 213166
16010, 10038-26625,23.154220,113.530720, 141748
16010, 10036-34658,23.228450,113.291850, 80413
16010, 9438-15759,23.089060,113.293970, 62796
16010, 9482-31646,23.107560,113.264920, 33798
16010, 10314-19181,23.081300,113.310300, 31911
10048, 10022-15591,0.000000,0.000000, 341945
10048, 10031-12193,0.000000,0.000000, 93746
10048, 9492-54757,0.000000,0.000000, 50226
10048, 9448-26523,23.308070,113.228320, 19500
10048, 9452-57588,23.124170,113.283430, 18633
10048, 10015-41791,23.128080,113.504040, 9248
10048, 10004-44334,23.187790,113.320260, 5376
10048, 10032-39143,0.000000,0.000000, 3476
10048, 9495-46731,23.136640,113.316350, 2320
10048, 9500-30369,23.096592,113.283597, 2076
10050, 10323-21384,0.000000,0.000000, 205989
10050, 9664-22735,0.000000,0.000000, 22015
10050, 9664-12239,0.000000,0.000000, 3340
10050, 9731-40737,23.216430,113.293140, 2712
10050, 10316-52257,23.127990,113.264120, 2390
