,education,entertainment,transportation,work
app_market,3619,6934,2454,4659
email,2135,3994,1309,3244
game,9962,19462,7075,14096
instant_messager,48988,87537,28207,73946
map,1459,2588,950,2142
music,1175,3069,661,1996
p2p,8531,14160,4636,11311
reading,572,905,312,1063
shopping,2994,5455,1560,4120
social_networks,12048,19225,5698,15007
stock,621,1656,409,1064
video,1730,2641,1581,2126
web_browsing,73278,137256,42848,117656
